City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,yerofey pavlovich,53.9667,121.9667,32.63,87,100,2.71,RU,1679281346
84,hohhot,40.8106,111.6522,52.09,16,0,2.24,CN,1679281347
85,nikolskoye,59.7035,30.7861,37.29,99,100,3.74,RU,1679281347
86,bagdarin,54.4333,113.6,34.12,56,100,0.87,RU,1679281349
87,ponta do sol,32.6667,-17.1,62.71,78,10,4.43,PT,1679281350
88,bayir,37.2687,28.2167,41.52,94,38,7.11,TR,1679281351
89,rayachoti,14.05,78.75,80.65,41,97,8.1,IN,1679281351
90,saint-philippe,-21.3585,55.7679,74.79,83,73,4.7,RE,1679281352
91,honolulu,21.3069,-157.8583,82.47,63,20,8.05,US,1679280811
92,neftcala,39.3742,49.2472,52.25,83,57,7.31,AZ,1679281353
93,codrington,-38.2667,141.9667,63.59,49,0,19.57,AU,1679281353
94,guerrero negro,27.9769,-114.0611,63.16,60,96,12.48,MX,1679281354
95,gold coast,-28.0,153.4333,94.89,61,9,11.5,AU,1679281229
96,bridlington,54.0831,-0.1919,45.9,92,100,10.8,GB,1679281110
97,samarai,-10.6167,150.6667,85.57,70,48,15.73,PG,1679281355
98,mataura,-46.1927,168.8643,61.48,96,100,4.59,NZ,1679281356
99,hinckley,52.5389,-1.3761,45.16,90,100,4.0,GB,1679281315
100,bluff,-46.6,168.3333,61.81,93,100,7.92,NZ,1679281356
101,anori,-3.7728,-61.6442,74.14,88,16,0.87,BR,1679281357
102,matola,-25.9622,32.4589,76.51,88,20,5.75,MZ,1679281357
103,jutai,-5.1833,-68.9,72.86,98,100,1.59,BR,1679281358
104,strezhevoy,60.7333,77.5889,3.25,88,100,9.71,RU,1679281359
105,dawlatabad,36.4141,64.9053,57.72,49,13,0.83,AF,1679281359
106,fazilka,30.4,74.0333,68.47,49,100,1.14,IN,1679281360
107,podor,16.6527,-14.9587,79.59,14,0,14.03,MR,1679281360
108,campobello di mazara,37.6358,12.7443,53.85,90,100,3.42,IT,1679281361
109,general roca,-39.0333,-67.5833,69.19,52,60,9.75,AR,1679281361
110,chengde,40.9725,117.9361,54.19,49,20,2.73,CN,1679281361
111,kahului,20.8947,-156.47,79.97,74,20,12.66,US,1679281200
112,kaitangata,-46.2817,169.8464,66.81,68,100,2.15,NZ,1679281362
113,faanui,-16.4833,-151.75,81.64,75,100,11.03,PF,1679281362
114,nimbahera,24.6167,74.6833,70.72,53,90,8.37,IN,1679281363
115,bubaque,11.2833,-15.8333,75.83,79,10,11.23,GW,1679281363
116,marsa matruh,31.3525,27.2453,57.4,62,40,11.5,EG,1679281340
117,saint anthony,45.0205,-93.218,35.53,67,0,8.05,US,1679281364
118,cidreira,-30.1811,-50.2056,73.8,82,22,9.48,BR,1679281364
119,kotido,2.9806,34.1331,71.24,57,95,4.14,UG,1679281365
120,laguna,38.421,-121.4238,55.9,93,100,11.5,US,1679281365
121,tasiilaq,65.6145,-37.6368,8.76,79,99,4.56,GL,1679281366
122,hammerfest,70.6634,23.6821,25.25,80,75,5.75,NO,1679281366
123,longyearbyen,78.2186,15.6401,6.64,78,100,20.71,SJ,1679281367
124,nome,64.5011,-165.4064,11.16,79,100,12.55,US,1679281367
125,nuuk,64.1835,-51.7216,24.04,79,100,11.9,GL,1679281247
126,saldanha,-33.0117,17.9442,64.45,86,25,20.74,ZA,1679281368
127,vodnyy,63.5046,53.4095,27.16,89,98,8.63,RU,1679281368
128,fukue,32.6881,128.8419,59.36,72,75,3.44,JP,1679281369
129,santa isabel,-23.3156,-46.2214,70.9,97,28,1.25,BR,1679281369
130,tukrah,32.5341,20.5791,51.53,65,91,6.69,LY,1679281369
131,plettenberg bay,-34.0527,23.3716,68.5,71,62,4.88,ZA,1679281370
132,chokurdakh,70.6333,147.9167,-16.29,95,100,18.12,RU,1679281370
133,norman wells,65.282,-126.8329,26.64,59,75,6.91,CA,1679281279
134,tura,25.5198,90.2201,63.0,94,100,2.77,IN,1679281371
135,lagoa,39.05,-27.9833,57.97,69,0,19.62,PT,1679281371
136,tiksi,71.6872,128.8694,-17.23,85,100,10.85,RU,1679281372
137,mahibadhoo,3.7833,72.9667,80.56,77,60,4.07,MV,1679281322
138,mount gambier,-37.8333,140.7667,68.4,37,0,12.53,AU,1679281373
139,port alfred,-33.5906,26.891,68.18,95,100,1.01,ZA,1679281374
140,pontes e lacerda,-15.2261,-59.3353,71.37,98,100,2.19,BR,1679281255
141,nipawin,53.3668,-104.0009,6.84,92,0,3.44,CA,1679281375
142,sistranda,63.7256,8.834,35.56,75,75,13.27,NO,1679281375
143,rio gallegos,-51.6226,-69.2181,46.45,61,0,29.93,AR,1679281376
144,fare,-16.7,-151.0167,82.44,74,91,9.73,PF,1679281376
145,port lincoln,-34.7333,135.8667,68.5,60,12,19.08,AU,1679281377
146,escanaba,45.7453,-87.0646,32.31,53,4,7.0,US,1679281377
147,coihaique,-45.5752,-72.0662,40.95,87,0,4.61,CL,1679281378
148,saskylakh,71.9167,114.0833,-22.95,92,97,4.43,RU,1679281378
149,vila do maio,15.1333,-23.2167,70.59,86,10,15.48,CV,1679281379
150,karratha,-20.7377,116.8463,96.73,39,2,11.61,AU,1679281379
151,thompson,55.7435,-97.8558,-0.24,71,0,3.44,CA,1679281167
152,cody,44.5263,-109.0565,35.65,47,0,1.99,US,1679281380
153,bossangoa,6.4926,17.4552,70.23,87,100,3.56,CF,1679281381
154,yamada,39.4667,141.95,55.11,50,7,3.71,JP,1679281381
155,sterling,39.0062,-77.4286,35.13,45,0,5.75,US,1679281381
156,kavieng,-2.5744,150.7967,83.57,73,100,11.77,PG,1679281383
157,port elizabeth,-33.918,25.5701,70.09,97,0,11.5,ZA,1679281384
158,doka,13.5167,35.7667,77.85,13,87,13.27,SD,1679281384
159,dingli,35.8614,14.3822,55.81,77,20,12.66,MT,1679281384
160,victoria,22.2855,114.1577,78.44,87,96,1.99,HK,1679281373
161,new norfolk,-42.7826,147.0587,60.93,40,5,5.01,AU,1679281385
162,tuktoyaktuk,69.4541,-133.0374,14.0,79,75,18.41,CA,1679281387
